Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Practical and&#xa0;Ethical Considerations for&#xa0;Generative AI in&#xa0;Medical Imaging,Ethics and Fairness in Medical Imaging,,,,10.1007/978-3-031-72787-0_17,Debesh JhaAshish RauniyarDesta Haileselassie HagosVanshali SharmaNikhil Kumar TomarZheyuan ZhangIlkin IslerGorkem DurakMichael WallaceCemal YaziciTyler BerzinKoushik BiswasUlas Bagci,2025,https://link.springer.com/chapter/10.1007/978-3-031-72787-0_17,Conference paper
Revolutionizing diabetic retinopathy and macular edema management: a systematic review on the transformative potential of artificial intelligence,The Visual Computer,,,,10.1007/s00371-025-04024-2,Saba Ghazanfar AliXiaolong YangSaleha MasoodZainab GhazanfarYounhyun JungTingli ChenXiangning Wang,2025,https://link.springer.com/article/10.1007/s00371-025-04024-2,Article
"Secondary use of health data: applications, models, algorithms, and ethical considerations",AI and Ethics,,,,10.1007/s43681-026-01017-2,Mahmoud SolimanOmar AbdelzizAhmed RadwanMohamed S. ShehataCharlene RonquilloKaris Shearer,2026,https://link.springer.com/article/10.1007/s43681-026-01017-2,Article
Using Artificial Intelligence Systems in Modern Neurobehavioral Research,Journal of Evolutionary Biochemistry and Physiology,,,,10.1134/S0022093025060080,K. V. ApukhtinA. E. ZolotovaA. O. LeunenkoV. N. PerfilovaA. V. Kalueff,2025,https://link.springer.com/article/10.1134/S0022093025060080,Article
Imaging-Based Artificial Intelligence in Vascular and Interventional Radiology: A Narrative Review,Journal of Imaging Informatics in Medicine,,,,10.1007/s10278-025-01803-0,Haseeb MukhtarAli GanjizadehAjay MisraJamie KanePing WangPrabh G. SinghAlaura LemieuxGaurav BaranwalSreenivasulu KilariBradley J. EricksonSanjay Misra,2026,https://link.springer.com/article/10.1007/s10278-025-01803-0,Article
Artificial intelligence in workflow optimization of acute ischemic stroke imaging: current status and future perspectives,Chinese Journal of Academic Radiology,,,,10.1007/s42058-025-00204-0,Xue Ming ZhangZhao ShiBin HuLong Jiang Zhang,2025,https://link.springer.com/article/10.1007/s42058-025-00204-0,Article
Predicting pediatric patient rehabilitation outcomes after spinal deformity surgery with artificial intelligence,Communications Medicine,,,,10.1038/s43856-024-00726-1,Wenqi ShiFelipe O. GiusteYuanda ZhuBen J. TamoMicky C. NnamdiAndrew HornbackAshley M. CarpenterColeman HiltonHenry J. IwinskiJ. Michael WattenbargerMay D. Wang,2025,https://link.springer.com/article/10.1038/s43856-024-00726-1,Article
"Exploring medical students’ attitudes and perceptions toward artificial intelligence in medicine in Shandong Province, China",BMC Medical Education,,,,10.1186/s12909-025-08465-0,Mingchan LiuYi ChengShu LiShanshan WangFeng DuXiaonan WeiZhiying AiSiyuan Yan,2025,https://link.springer.com/article/10.1186/s12909-025-08465-0,Article
Bridging Research and Practice: A Systematic Review of Deep Learning Techniques in Medical Imaging,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10524-8,Vijai SinghShruti AroraDisha SinghalPrerna Bhardwaj,2026,https://link.springer.com/article/10.1007/s11831-026-10524-8,Article
An integrated framework for ethical healthcare chatbots using LangChain and NeMo guardrails,AI and Ethics,,,,10.1007/s43681-025-00696-7,Govind ArunRohith SyamAiswarya Anil NairSahaj Vaidya,2025,https://link.springer.com/article/10.1007/s43681-025-00696-7,Article
Deep learning techniques for analyzing peripheral blood smears: a meta-analysis,Neural Computing and Applications,,,,10.1007/s00521-025-11401-4,Issac Neha MargretK. Rajakumar,2025,https://link.springer.com/article/10.1007/s00521-025-11401-4,Article
"Industrial applications of generative artificial intelligence: transformations in processes, design, and production",Discover Artificial Intelligence,,,,10.1007/s44163-025-00557-6,Alejandro Valencia-AriasPaula Andrea Rodríguez-CorreaJesus Alberto Jimenez-GarciaJackeline ValenciaAda GallegosSebastián Cardona-AcevedoMartha Luz Benjumea-Arias,2025,https://link.springer.com/article/10.1007/s44163-025-00557-6,Article
The Role of AI in Clinical Trial Design and Scientific Writing,CardioVascular and Interventional Radiology,,,,10.1007/s00270-025-04171-y,Niki Katsara AntonakeaJulius ChapiroJeff Geschwind,2025,https://link.springer.com/article/10.1007/s00270-025-04171-y,Article
A Review for Bridging Clinical and Technical Gaps with Hybrid-ML in Schizophrenia Diagnosis,"Data Science, AI and Applications",,,,10.1007/978-3-032-11355-9_4,Syed Mossabbir HossainNitun Kumar PodderMd Raihanul HaqueTasfia Rahman Asma,2025,https://link.springer.com/chapter/10.1007/978-3-032-11355-9_4,Conference paper
Z Visual-language foundation models for medical and clinical diagnosis and treatments,The Visual Computer,,,,10.1007/s00371-025-04067-5,Haoran GuanXiang ChenChengxing ShenXiaoyue ZhuHuajun XuChenyang Li,2025,https://link.springer.com/article/10.1007/s00371-025-04067-5,Article
Advancing pancreatic cancer management: the role of artificial intelligence in diagnosis and therapy,Beni-Suef University Journal of Basic and Applied Sciences,,,,10.1186/s43088-025-00610-4,Dilber Uzun OzsahinNatacha UsanaseIlker Ozsahin,2025,https://link.springer.com/article/10.1186/s43088-025-00610-4,Article
Advancements and Challenges in the Use of Artificial Intelligence for Coronary Artery Disease Diagnosis: An Integrated Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10298-5,Heni MehtaMili PatelManav VakhariaParita Oza,2025,https://link.springer.com/article/10.1007/s11831-025-10298-5,Article
A hybrid reinforcement learning and knowledge graph framework for financial risk optimization in healthcare systems,Scientific Reports,,,,10.1038/s41598-025-14355-8,Md Shahab UddinAhsan AhmedMd AktarujjamanMohammad MoniruzzamanMumtahina AhmedM. F. MridhaMd. Jakir Hossen,2025,https://link.springer.com/article/10.1038/s41598-025-14355-8,Article
Artificial intelligence-driven food safety and quality control,Journal of Food Measurement and Characterization,,,,10.1007/s11694-026-04088-1,Xin ZhouZhihua LiXiaowei HuangXiangyu HuZexiang LiJiyong ShiXiaobo Zou,2026,https://link.springer.com/article/10.1007/s11694-026-04088-1,Article
"Explanation and elaboration of MedinAI: guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services",International Journal of Clinical Pharmacy,,,,10.1007/s11096-025-01906-2,Wallace Entringer BottacinThais Teles de SouzaAna Carolina MelchiorsWalleri Christini Torelli Reis,2025,https://link.springer.com/article/10.1007/s11096-025-01906-2,Article
Generative Adversarial Networks in Medicine: Important Considerations for this Emerging Innovation in Artificial Intelligence,Annals of Biomedical Engineering,,,,10.1007/s10439-023-03304-z,Phani Srivatsav PaladuguJoshua OngNicolas NelsonSharif Amit KamranEthan WaisbergNasif ZamanRahul KumarRoger Daglius DiasAndrew Go LeeAlireza Tavakkoli,2023,https://link.springer.com/article/10.1007/s10439-023-03304-z,Article
"Digital health technologies in medicine: evidence, artificial intelligence integration, and ethical challenges",Infectious Agents and Cancer,,,,10.1186/s13027-026-00737-8,Marco CascellaCesare PaneMarcello Di PumpoEnrico SebastianiMartino BussaAlessio TagliaferriBarbara BrunettiPierluigi MeloniElisa BianchiniPaolo GrazianiFederico FaustiniGuido D’OnofrioDavid ManettaCristina Angela CataniaChiara Jole FornariAndrea ScardaFederica SmanioCristina ImbesiMaria Teresa AvellaRoberta FuscoVincenza Granata,2026,https://link.springer.com/article/10.1186/s13027-026-00737-8,Article
Implementing Artificial Intelligence in Critical Care Medicine: a consensus of 22,Critical Care,,,,10.1186/s13054-025-05532-2,Maurizio CecconiMassimiliano GrecoBenjamin ShickelDerek C. AngusHeatherlee BaileyElena BignamiThierry CalandraLeo Anthony CeliSharon EinavPaul ElbersAri ErcoleHernando GómezMichelle Ng GongMatthieu KomorowskiVincent LiuSoojin ParkAarti SarwalChristopher W. SeymourFernando G. ZampieriFabio Silvio TacconeJean-Louis VincentAzra Bihorac,2025,https://link.springer.com/article/10.1186/s13054-025-05532-2,Article
Advancing Real-Time Facial Expression Recognition: A Deep Learning-Based Video Stream Analysis,Cybersecurity and Artificial Intelligence Strategies,,,,10.1007/978-3-032-07244-3_13,Sura SalahSama Hayder,2026,https://link.springer.com/chapter/10.1007/978-3-032-07244-3_13,Conference paper
Thyroid disease classification using generative adversarial networks and Kolmogorov-Arnold network for three-class classification,BMC Medical Informatics and Decision Making,,,,10.1186/s12911-025-03014-7,Aysel TopşirFerdi GülerEcesu ÇetinMehmet Furkan BurakMelih Ağraz,2025,https://link.springer.com/article/10.1186/s12911-025-03014-7,Article
A systematic literature review on mammography: deep learning techniques for breast cancer detection with global and Asian perspectives,BMC Cancer,,,,10.1186/s12885-025-14876-5,Ashwini AminDinesh Acharya UPrakashini KoteshwaraSiddalingaswamy P CStanley Mathew,2025,https://link.springer.com/article/10.1186/s12885-025-14876-5,Article
A hybrid GAN-based deep learning framework for thermogram-based breast cancer detection,Scientific Reports,,,,10.1038/s41598-025-04676-z,Preethi VeerlapalliSushama Rani Dutta,2025,https://link.springer.com/article/10.1038/s41598-025-04676-z,Article
Artificial Intelligence Methods for Clean Energy and Environmental Engineering Systems: A Cross-Sectoral Computational Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10559-x,Chukwuebuka Joseph EjiyiDanny Love Wamba DjukemChidinma N. DiokpoFrancis O. EzeGladys W. MuokaFrancis SamQingxian ZhangDongsheng CaiAbena A. AtwereboannahJoel Victor DossaOlusola O. Bamisile,2026,https://link.springer.com/article/10.1007/s11831-026-10559-x,Article
GenAI in nursing and clinical practice: a rapid review of applications and challenges,Journal of Public Health,,,,10.1007/s10389-025-02523-z,Tim TischendorfLaura HinscheMartina HasselerTom Schaal,2025,https://link.springer.com/article/10.1007/s10389-025-02523-z,Article
"Pioneering Advances in AI, Machine Learning, and Big Data Analytics: A Review","Proceedings of the NIELIT’s International Conference on Communication, Electronics and Digital Technologies",,,,10.1007/978-981-96-9935-3_32,Lovnish VermaAnita BudhirajaSarwan SinghMuneer Ahmad Dar,2026,https://link.springer.com/chapter/10.1007/978-981-96-9935-3_32,Conference paper
Innovative AI-Driven Models for Predicting Polycystic Ovarian Syndrome: An Extensive Review of Machine Learning and Deep Learning Frameworks,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10358-w,Girija GovindharajanSenthilkumar SubramanianManivannan DoraipandianSujarani Rajendran,2025,https://link.springer.com/article/10.1007/s11831-025-10358-w,Article
Bias Analysis in Healthcare Time Series (BAHT) Decision Support Systems from Meta Data,Journal of Healthcare Informatics Research,,,,10.1007/s41666-023-00133-6,Sagnik DakshitSristi DakshitNinad KhargonkarBalakrishnan Prabhakaran,2023,https://link.springer.com/article/10.1007/s41666-023-00133-6,Article
Robustness in deep learning models for medical diagnostics: security and adversarial challenges towards robust AI applications,Artificial Intelligence Review,,,,10.1007/s10462-024-11005-9,Haseeb JavedShaker El-SappaghTamer Abuhmed,2024,https://link.springer.com/article/10.1007/s10462-024-11005-9,Article
An In-depth overview of artificial intelligence (AI) tool utilization across diverse phases of organ transplantation,Journal of Translational Medicine,,,,10.1186/s12967-025-06488-1,Shiva ArjmandmazidiHamid Reza HeidariTohid GhasemnejadZeinab MoriLeila MolaviAmir MerajiShadi KaghazchiElnaz Mehdizadeh AghdamSoheila Montazersaheb,2025,https://link.springer.com/article/10.1186/s12967-025-06488-1,Article
From Human Annotators to&#xa0;AI: The Transition and&#xa0;the&#xa0;Role of&#xa0;Synthetic Data in&#xa0;AI Development,Artificial Intelligence in HCI,,,,10.1007/978-3-031-93429-2_25,Thitirat Siriborvornratanakul,2025,https://link.springer.com/chapter/10.1007/978-3-031-93429-2_25,Conference paper
Artificial Intelligence Evolution: The Rise of Generative AI,The 22nd International Conference on Information Technology-New Generations (ITNG 2025),,,,10.1007/978-3-031-89063-5_36,Amber WilliamsDextany HatfieldBharat S. Rawal,2025,https://link.springer.com/chapter/10.1007/978-3-031-89063-5_36,Conference paper
Demystifying the Ethical Framework for Generative AI in Healthcare: A Data Science Perspective,Artificial Intelligence in Healthcare,,,,10.1007/978-3-031-67285-9_20,R. Vani LakshmiRahul Sheshan ClareAsha Kamath,2024,https://link.springer.com/chapter/10.1007/978-3-031-67285-9_20,Conference paper
"A Comprehensive Examination of Machine Learning and Deep Learning Approaches for Breast Cancer Detection, Classification, Segmentation, Augmentation, and Feature Selection",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10359-9,Jafar MajidpourHakem Beitollahi,2025,https://link.springer.com/article/10.1007/s11831-025-10359-9,Article
Integration of artificial intelligence with information security: a systematic literature review,Knowledge and Information Systems,,,,10.1007/s10115-025-02613-0,Lokesh NegiPrakash Rao RagiriShobha BhattGeetanjali GargKirti SharmaNidhi Bhatt,2026,https://link.springer.com/article/10.1007/s10115-025-02613-0,Article
Domain adaptation for bias mitigation in affective computing: use cases for facial emotion recognition and sentiment analysis systems,Discover Applied Sciences,,,,10.1007/s42452-025-06659-1,Peeyush SinghalSai GokhaleArva ShahDeepak Kumar JainRahee WalambeAniko EkartKetan Kotecha,2025,https://link.springer.com/article/10.1007/s42452-025-06659-1,Article
"Advances in Machine Learning and Deep Learning for Hormonal Disorder Diagnosis: an Exhaustive Review on PCOS, Thyroid, and Optimization Techniques",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10380-y,Sanjay DhankaAnkur KumarAbhinav SharmaHaswanth VundavilliSurita MainiElakkiya Rajasekar,2025,https://link.springer.com/article/10.1007/s11831-025-10380-y,Article
"A comprehensive review on key technologies toward smart healthcare systems based IoT: technical aspects, challenges and future directions",Artificial Intelligence Review,,,,10.1007/s10462-025-11342-3,Muntadher AlsabahMarwah Abdulrazzaq NaserA. S. AlbahriO. S. AlbahriA. H. AlamoodiSadiq H. AbdulhussainLaith Alzubaidi,2025,https://link.springer.com/article/10.1007/s10462-025-11342-3,Article
Risks Related to Artificial Intelligence and Their Mitigation Techniques: Review on Recent Advances,Proceedings of Smart and AI Enabled Technology for Sustainable Development,,,,10.1007/978-981-96-9370-2_14,Danish KapoorAnmol Bhatia,2026,https://link.springer.com/chapter/10.1007/978-981-96-9370-2_14,Conference paper
Exploring Biases and Interpretability of Deep Learning Models,ICT Analysis and Applications,,,,10.1007/978-3-032-06694-7_46,Shreya PulluriMegha MohanMadduri Aditya Vardhan ReddyChitresh SimhadriM. Geetha,2026,https://link.springer.com/chapter/10.1007/978-3-032-06694-7_46,Conference paper
Ethical and Structural Determinants of Generative AI-Driven Healthcare Data Sharing for Financial Analysis,Information Systems Frontiers,,,,10.1007/s10796-025-10663-6,Rajat Subhra ChatterjeeTomas KliestikDeepak Kumar SinghUthayasankar SivarajahSheshadri Chatterjee,2025,https://link.springer.com/article/10.1007/s10796-025-10663-6,Article
Ethical Considerations in AI-Based Brain Tumour Diagnosis,Intelligent Systems and Applications,,,,10.1007/978-3-032-07109-5_5,Dimitar RangelovRadoslav MiltchevEvgeni Genchev,2026,https://link.springer.com/chapter/10.1007/978-3-032-07109-5_5,Conference paper
A review of deep learning methods for the prediction of prostate cancer,Neural Computing and Applications,,,,10.1007/s00521-025-11563-1,Rasool Al-GburiRaid GaibSaif M. B. Al-SabtiMuhammed E. TharwatAli MustafaAli M. Elhendy,2025,https://link.springer.com/article/10.1007/s00521-025-11563-1,Article
"Unveiling the landscape of generative artificial intelligence in education: a comprehensive taxonomy of applications, challenges, and future prospects",Education and Information Technologies,,,,10.1007/s10639-024-12936-0,Agariadne Dwinggo SamalaSoha RawasTianchong WangJanet Marie ReedJinhee KimNatalie-Jane HowardMyriam Ertz,2024,https://link.springer.com/article/10.1007/s10639-024-12936-0,Article
"Advances in cardiovascular signal analysis with future directions: a review of machine learning and deep learning models for cardiovascular disease classification based on ECG, PCG, and PPG signals",Biomedical Engineering Letters,,,,10.1007/s13534-025-00473-9,Yunendah Nur FuadahKi Moo Lim,2025,https://link.springer.com/article/10.1007/s13534-025-00473-9,Article
Artificial intelligence for system security assurance: A systematic literature review,International Journal of Information Security,,,,10.1007/s10207-024-00959-0,Shao-Fang WenAnkur ShuklaBasel Katt,2024,https://link.springer.com/article/10.1007/s10207-024-00959-0,Article
On Defining a Framework for Responsible and Ethical AI in Digital Transformation (FRE-AIDT): Advancements and Challenges,"AI and Digital Transformation: Opportunities, Challenges, and Emerging Threats in Technology, Business, and Security",,,,10.1007/978-3-032-07373-0_2,Dimitrios A. KarrasEnriko Ceko,2026,https://link.springer.com/chapter/10.1007/978-3-032-07373-0_2,Conference paper
The evolution of GANs in medical imaging: a scientometric perspective,Neural Computing and Applications,,,,10.1007/s00521-025-11793-3,Basil HanafiMohammad Ali,2026,https://link.springer.com/article/10.1007/s00521-025-11793-3,Article
Unlocking the potential: multimodal AI in biotechnology and digital medicine—economic impact and ethical challenges,npj Digital Medicine,,,,10.1038/s41746-025-01992-6,Arya BhushanPreeti Misra,2025,https://link.springer.com/article/10.1038/s41746-025-01992-6,Article
Risks and Realities of Speculative Ethics: Lessons from Nanotechnology for the Artificial Intelligence Discourse,NanoEthics,,,,10.1007/s11569-025-00477-w,Yana Suchikova,2025,https://link.springer.com/article/10.1007/s11569-025-00477-w,Article
Selected Abstracts from the 2025 Conference on Artificial Intelligence in Medical Imaging (CAIMI) of the Society for Imaging Informatics in Medicine (SIIM),Journal of Imaging Informatics in Medicine,,,,10.1007/s10278-025-01679-0,,2025,https://link.springer.com/article/10.1007/s10278-025-01679-0,Article
Explainable Diagnosis of&#xa0;Bacterial Vaginosis: A Hierarchical Approach Based&#xa0;on&#xa0;XAI,Pattern Recognition,,,,10.1007/978-3-031-96255-4_27,Fidencio Alarcón-LópezKrissel Ofelia Pesqueira-RamzahuerRafael Rivera-LópezNoemi del Carmen Tenorio-PrietoErick De la Cruz HernándezJuana Canul-Reich,2025,https://link.springer.com/chapter/10.1007/978-3-031-96255-4_27,Conference paper
Interpreting Black-Box Models: A Review on Explainable Artificial Intelligence,Cognitive Computation,,,,10.1007/s12559-023-10179-8,Vikas HassijaVinay ChamolaAtmesh MahapatraAbhinandan SingalDivyansh GoelKaizhu HuangSimone ScardapaneIndro SpinelliMufti MahmudAmir Hussain,2023,https://link.springer.com/article/10.1007/s12559-023-10179-8,Article
Applications of Machine Learning Algorithms in Dementia Classification Using Eight Clinical Diagnostic Measures,Ageing International,,,,10.1007/s12126-025-09643-7,Natacha UsanaseAbdullahi G. UsmanDilber Uzun Ozsahin,2025,https://link.springer.com/article/10.1007/s12126-025-09643-7,Article
A hybrid deep learning based robust framework for enhancing the prediction of skin lesions,Network Modeling Analysis in Health Informatics and Bioinformatics,,,,10.1007/s13721-025-00714-y,Sheeza NaeemFarah HaneefMuhammad Nouman Noor,2026,https://link.springer.com/article/10.1007/s13721-025-00714-y,Article
Brain tumor detection with real-world predictions in Jordan hospitals,Scientific Reports,,,,10.1038/s41598-025-33215-z,Muhyeeddin AlqaralehMohammad Subhi Al-BatahMowafaq Salem AlzboonAbdullah Alourani,2025,https://link.springer.com/article/10.1038/s41598-025-33215-z,Article
Skin Disease Detection Using Deep Learning: A Comparative Analysis of CNN Models on the ISIC Dataset,Computing and Machine Learning,,,,10.1007/978-981-95-2872-1_6,Aaryan GuptaJayesh GangradeMansi AmarnaniRanojit PalitArhaan AbdullahDhruv Mendiratta,2026,https://link.springer.com/chapter/10.1007/978-981-95-2872-1_6,Conference paper
A Review of Artificial Intelligence′s Impact on Cybersecurity in the Big Data Era,Computational Science and Its Applications – ICCSA 2025 Workshops,,,,10.1007/978-3-031-97576-9_12,Esra ÇakirA Çağrı Tolga,2026,https://link.springer.com/chapter/10.1007/978-3-031-97576-9_12,Conference paper
Artificial intelligence for secure and sustainable industrial control systems - A Survey of challenges and solutions,Artificial Intelligence Review,,,,10.1007/s10462-025-11320-9,Muhammad Muzamil AslamAli TufailHaji GulMuhammad Nauman IrshadAbdallah Namoun,2025,https://link.springer.com/article/10.1007/s10462-025-11320-9,Article
Beyond the Veil: why Rawlsian Fairness is Too Blind,Fudan Journal of the Humanities and Social Sciences,,,,10.1007/s40647-025-00457-0,Dwayne Woods,2026,https://link.springer.com/article/10.1007/s40647-025-00457-0,Article
Unveiling Bias in the Autism AI Dataset: A Patterned Sampling Approach for Balanced Learning,PRICAI 2025: Trends in Artificial Intelligence,,,,10.1007/978-981-95-7072-0_49,Rabia Naseer RaoHiran ThabrewSeyed Reza Shahamiri,2026,https://link.springer.com/chapter/10.1007/978-981-95-7072-0_49,Conference paper
Artificial Intelligence in Food Manufacturing: A Review of Current Work and Future Opportunities,Food Engineering Reviews,,,,10.1007/s12393-024-09395-1,Mert CanatanNasser AlkhulaifiNicholas WatsonZiynet Boz,2025,https://link.springer.com/article/10.1007/s12393-024-09395-1,Article
Operationalising ethics in artificial intelligence for healthcare: a framework for AI developers,AI and Ethics,,,,10.1007/s43681-022-00195-z,Pravik SolankiJohn GrundyWaqar Hussain,2022,https://link.springer.com/article/10.1007/s43681-022-00195-z,Article
The current status and prospects of large language models in medical application and research,Chinese Journal of Academic Radiology,,,,10.1007/s42058-024-00164-x,Heng DengQian ZhouZiwei ZhangTaohu ZhouXiaoqing LinYi XiaLi FanShiyuan Liu,2024,https://link.springer.com/article/10.1007/s42058-024-00164-x,Article
The role of deep learning-based algorithms in retinal image processing: a review,Multimedia Tools and Applications,,,,10.1007/s11042-026-21181-1,Canan Celikİbrahim Yücedağ,2026,https://link.springer.com/article/10.1007/s11042-026-21181-1,Article
Comparative Analysis of Real and AI-Generated Synthetic Images for Classification Tasks: A Deep Learning Approach,Innovations in Data Analytics,,,,10.1007/978-981-96-6300-2_8,Hussain Falih MahdiAyan SarTanupriya ChoudhurySumit AichPurvika Joshi,2025,https://link.springer.com/chapter/10.1007/978-981-96-6300-2_8,Conference paper
Deep learning approaches to detect breast cancer: a comprehensive review,Multimedia Tools and Applications,,,,10.1007/s11042-024-20011-6,Amir Mohammad SharafaddiniKiana Kouhpah EsfahaniNajme Mansouri,2024,https://link.springer.com/article/10.1007/s11042-024-20011-6,Article
Artificial intelligence (AI)—it’s the end of the tox as we know it (and I feel fine)*,Archives of Toxicology,,,,10.1007/s00204-023-03666-2,Nicole KleinstreuerThomas Hartung,2024,https://link.springer.com/article/10.1007/s00204-023-03666-2,Article
Safeguarding Privacy of&#xa0;Sensitive E-health Data Against AI Predictive Algorithm Threats,Proceedings of Tenth International Congress on Information and Communication Technology,,,,10.1007/978-981-96-6432-0_21,Abdellah TahenniAbdelkader Belkhir,2025,https://link.springer.com/chapter/10.1007/978-981-96-6432-0_21,Conference paper
Data-driven medical devices and the EU MDR: mapping gaps in standards for regulatory compliance,npj Health Systems,,,,10.1038/s44401-026-00075-2,Ugur Ilker AtmacaSaif Ul IslamGregory EpiphaniouAnita KhadkaStuart HarrisonNikolaos MatragkasScott HansenRance DeLongCarsten Maple,2026,https://www.nature.com/articles/s44401-026-00075-2,Article
Deep learning techniques for enhanced security and privacy in 6G terrestrial–nonterrestrial network architecture,The Journal of Supercomputing,,,,10.1007/s11227-025-07097-x,Maira KhalidJehad AliAhmed Raza MohsinByeong-hee RohMohammed J. F. Alenazi,2025,https://link.springer.com/article/10.1007/s11227-025-07097-x,Article
"Smart Contact Lenses for Non-invasive Medical Diagnostics: Materials, Mechanisms, and Future Clinical Integration",Biomedical Materials & Devices,,,,10.1007/s44174-025-00616-7,Saraswati Patel,2025,https://link.springer.com/article/10.1007/s44174-025-00616-7,Article
"Unraveling the Regimes of Synthetic Data Metrics: Expectations, Ethics, and Politics",Digital Society,,,,10.1007/s44206-025-00200-y,Louis RavnVassilis GalanosMatthew ArcherDanielle Shanley,2025,https://link.springer.com/article/10.1007/s44206-025-00200-y,Article
Towards equitable AI in oncology,Nature Reviews Clinical Oncology,,,,10.1038/s41571-024-00909-8,Vidya Sankar ViswanathanVani ParmarAnant Madabhushi,2024,https://link.springer.com/article/10.1038/s41571-024-00909-8,Article
Deep learning-based joint analysis of diabetic retinopathy and glaucoma in retinal fundus images,Scientific Reports,,,,10.1038/s41598-025-32991-y,T. GeethaC. Hema,2025,https://link.springer.com/article/10.1038/s41598-025-32991-y,Article
"A review of deep learning-based localization, mapping and 3D reconstruction for endoscopy",Journal of Micro and Bio Robotics,,,,10.1007/s12213-024-00181-0,Jiawei ZhongHongliang RenQin ChenHui Zhang,2024,https://link.springer.com/article/10.1007/s12213-024-00181-0,Article
Systematic Review on Generative AI Using IoMT in Health Care: Issues Challenges and Solutions,Proceedings of Data Analytics and Management,,,,10.1007/978-981-96-3361-6_32,Arpita MittalIshan BudhirajaGitika Sharma,2025,https://link.springer.com/chapter/10.1007/978-981-96-3361-6_32,Conference paper
Responsible AI in medical aesthetics: a critical review of facial and skin analysis applications and ethical considerations,AI and Ethics,,,,10.1007/s43681-025-00887-2,Pyn Lim,2025,https://link.springer.com/article/10.1007/s43681-025-00887-2,Article
The algorithm will see you now: how AI evaluates neurosurgeons,AI and Ethics,,,,10.1007/s43681-025-00860-z,Daniel SchneiderEthan Devin Lockwood BrownMax WardBarnabas Obeng-GyasiDaniel SciubbaSheng-Fu Lo,2025,https://link.springer.com/article/10.1007/s43681-025-00860-z,Article
Fairness-Aware Data Augmentation for&#xa0;Cardiac MRI Using Text-Conditioned Diffusion Models,Fairness of AI in Medical Imaging,,,,10.1007/978-3-032-05870-6_7,Grzegorz SkorupkoRichard OsualaZuzanna SzafranowskaKaisar KushibarVien Ngoc DangNay AungSteffen E. PetersenKarim LekadirPolyxeni Gkontra,2026,https://link.springer.com/chapter/10.1007/978-3-032-05870-6_7,Conference paper
"Applications of deep learning in Alzheimer’s disease: a systematic literature review of current trends, methodologies, challenges, innovations, and future directions",Artificial Intelligence Review,,,,10.1007/s10462-024-11041-5,Shiva ToumajArash HeidariReza ShahhosseiniNima Jafari Navimipour,2024,https://link.springer.com/article/10.1007/s10462-024-11041-5,Article
Applying analytics to sociodemographic disparities in mental health,Nature Mental Health,,,,10.1038/s44220-024-00359-2,Aaron BairdYusen Xia,2025,https://link.springer.com/article/10.1038/s44220-024-00359-2,Article
Exploring the potential of explainable AI in brain tumor detection and classification: a systematic review,Artificial Intelligence Review,,,,10.1007/s10462-025-11410-8,Lincy Annet AbrahamGopinath PalanisamyGoutham VeerapuJ. S. Nisha,2025,https://link.springer.com/article/10.1007/s10462-025-11410-8,Article
Generative artificial intelligence use in the workplace: implications for management practice,Review of Managerial Science,,,,10.1007/s11846-025-00949-z,Álvaro Hernández-TamurejoRita BužinskienėBelém BarbosaAstrida MiceikienėJose Ramon Saura,2025,https://link.springer.com/article/10.1007/s11846-025-00949-z,Article
Bias in&#xa0;Dermatological Datasets: A Critical&#xa0;Analysis&#xa0;of&#xa0;the Underrepresentation of&#xa0;Dark Skin Tones in&#xa0;Melanoma Classification Images,Computational Science – ICCS 2025 Workshops,,,,10.1007/978-3-031-97554-7_32,Tommaso RugaEster ZumpanoEugenio VocaturoLuciano CaropreseCaterina Arlia,2025,https://link.springer.com/chapter/10.1007/978-3-031-97554-7_32,Conference paper
Deep learning and machine learning techniques for head pose estimation: a survey,Artificial Intelligence Review,,,,10.1007/s10462-024-10936-7,Redhwan AlgabriAhmed AbduSungon Lee,2024,https://link.springer.com/article/10.1007/s10462-024-10936-7,Article
"Advancing biological imaging: computational techniques, AI, and bioinformatics in microscopy",Multimedia Tools and Applications,,,,10.1007/s11042-026-21396-2,Youssef  M. HassanAhmed S. MohamedYaser M. HassanAbdulrahman K. ShalabyWael M. El-Sayed,2026,https://link.springer.com/article/10.1007/s11042-026-21396-2,Article
Digital Twins and Health Care: an Umbrella Review,Journal of Medical Systems,,,,10.1007/s10916-025-02322-9,Maziar AfsharAsra MoradkhaniMarzieh SoheiliMohammadhossein TavakkolYousef MoradiHamed Gilzad Kohan,2025,https://link.springer.com/article/10.1007/s10916-025-02322-9,Article
