"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Artificial Intelligence and Machine Learning New Techniques for Generative AI that Drive Outcomes for Health and Transportation","K. Kotamsetty","Lead Customer Engineer, Google Public Sector, USA",2026 7th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),"4 Mar 2026","2026","","","300","307","Artificial Intelligence (AI) and Machine Learning (ML) have emerged as powerful tools for data-driven decisionmaking across critical sectors such as healthcare and transportation. However, traditional ML models often struggle with data imbalance and scarcity, leading to biased predictions and limited generalization. This study introduces an advanced Generative AI-driven hybrid framework that integrates a Tabular Generative Adversarial Network (TGAN) with the XGBoost classifier to overcome these limitations and enhance predictive reliability. The framework is validated using two benchmark datasets: the heart-disease dataset for binary diagnosis in the healthcare application and the UK roadaccident dataset for multi-class severity prediction in the transportation application. The Generative AI component learns the statistical patterns of real data and generates highquality synthetic records for under-represented cases such as disease-positive patients and fatal accidents. These synthetic samples are merged with the real training data to form a balanced, information-rich dataset, while the test set remains unaltered to ensure unbiased evaluation. Experimental findings confirm that Generative AI augmentation significantly enhances predictive reliability. The TGAN-XGBoost model achieved an accuracy of $\mathbf{9 8. 9 2 \%}$ for heart-disease classification and 98.26% for accident-severity prediction, demonstrating substantial improvement over baseline results. The generated data closely mirror real distributions, ensuring that model gains stem from genuine representational enrichment rather than overfitting. This research highlights the transformative role of Generative AI in augmenting traditional ML workflows, offering a scalable, domain-independent strategy for achieving robust, data-balanced, and high-accuracy outcomes in both health diagnostics and transportation safety applications.","","979-8-3315-5519-1","10.1109/ICMCSI67283.2026.11412819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11412819","Artificial Intelligence;Machine Learning;Generative AI;Diffusion Models;Healthcare Analytics;Transportation Systems;Data Synthesis","Accuracy;Generative AI;Diversity reception;Transportation;Medical services;Predictive models;Diffusion models;Data models;Diseases;Overfitting","","","","19","IEEE","4 Mar 2026","7-9 Jan. 2026","7-9 Jan. 2026","IEEE","IEEE Conferences"
"Next-Generation AI Systems: From Cognitive Models to Real-World Impact","R. Davuluri; M. N. Rao; G. Saikiran","Department of CSE, Seshadri Rao gudlavalleru engineering College, Gudlavalleru; Department of CSE, School of Computer Science & Technology, Malla Reddy (MR) Deemed to be University, Medchal- Malkajgiri, Hyderabad; Department of computer science and engineering, Malla Reddy (MR) Deemed to Be university, Medchal-Malkajgiri, Hyderabad",2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC),"20 Jan 2026","2025","","","1563","1570","AI Systems have become an important tool to solve complex problems in various areas such as healthcare, smart city's and autonomous systems. In this study we developed a Cognitive-AI Framework that is a method to increase the accuracy, the reliability and the ethical compliance in all these fields by integrating Deep learning (DL), Generative Modelling (GM), Neuro-Symbolic reasoning (NSR) and Reinforcement learning (RL) in one single Architecture to accomplish robust pattern recognition, synthetic data creation, logical decisions making, and adaptation of the optimal policies. All the data used was taken from references secondary data exclusively, therefore the methodology consists of data preparation, cognitive modeling of domain knowledge, generative scenarios simulations, neuro-symbolic fusion for the explainability of the results, and RL under safety constraints. Mechanisms of ethical oversight were included to guarantee the fairness and the responsibility during the whole process. Therefore, the framework was evaluated and showed that it is able to provide scalable, interpretable and trustworthy AI solutions for real-world applications with critical missions, thus contributing to the ethically responsible development of AI.","","979-8-3315-6587-9","10.1109/ICAAIC64647.2025.11331180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11331180","Artificial Intelligence;Cognitive Models;Generative AI;Neuro-Symbolic Systems;Ethical AI;Real-World Applications","Ethics;Adaptation models;Accuracy;Mission critical systems;Reinforcement learning;Medical services;Data models;Cognition;Artificial intelligence;Synthetic data","","","","25","IEEE","20 Jan 2026","17-19 Dec. 2025","17-19 Dec. 2025","IEEE","IEEE Conferences"
"Class Imbalance in Transfer Learning (TL): A Scientometric and Bibliometric Analysis","N. Sharma; R. Lalit","ECE, UIE, Chandigarh University, Mohali, Punjab, India; AIT-CSE, Chandigarh University, Mohali, Punjab, India",2026 International Conference on Signal Processing and Electronics Design (ICSPED),"25 Mar 2026","2026","","","253","260","The issue of class imbalance has become popular in the past 10 years as this term has been used frequently in Machine Learning. The biggest impact has been for the transfer learning approach to ML where the use of pre-trained models has raised the issue of bias stemming from using datasets with class imbalances. The study here, explore class imbalance impact on transfer learning models. This study also examines solutions to cater the problem of class imbalance by data augmentation, resampling methods, cost-sensitive learning, and synthetic data generation. This analysis examines 1119 academic papers from 2015 to 2025. Furthermore, this study inspects how alternate approaches for managing class imbalance affect model efficacy in diverse areas, including healthcare, anomaly detection, and sentiment analysis. The study depicts that more than 60% of transfer learning applications in imbalanced datasets are in domains such as healthcare and finance. Current trends like focal loss, adaptive re-weighting, generative adversarial networks for minority class augmentation, and self-supervised learning have become a hotspot area. The study's results highlight insightful future research areas to cater the issue of class imbalance and its major concerns in transfer learning domain.","","978-1-6654-7806-9","10.1109/ICSPED65817.2026.11448350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11448350","Transfer Learning;Class Imbalance;Scientometric Analysis;Bibliometric Mapping;CiteSpace;VOSviewer","Sentiment analysis;Transfer learning;Bibliometrics;Finance;Medical services;Self-supervised learning;Signal processing;Market research;Generative adversarial networks;Synthetic data","","","","46","IEEE","25 Mar 2026","23-24 Jan. 2026","23-24 Jan. 2026","IEEE","IEEE Conferences"
"Attention-Augmented Generative AdversarialNetworks (GANs) for Synthetic Data Augmentationin Prostate Cancer MRI-Bases Segmentation Tasks","K. A; M. Y; N. Kumar S","Department of Information Technology, St. Joseph's College of Engineering, OMR, Chennai; Department of Information Technology, St. Joseph's College of Engineering, OMR, Chennai; Department of Information Technology, St. Joseph's College of Engineering, OMR, Chennai",2025 2nd International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),"17 Feb 2026","2025","","","1","9","Prostate cancer remains to be one of the most common cancers in men. Detection and segmentation of this cancer from MRI images are very important for patient outcomes. The work in this project introduces a novel method utilizing attention-augmented GANs in generating synthetic data for the specific application of prostate cancer MRI segmentation. By integrating multi-scale U-Net models with channel-attention and spatial-attention mechanisms, the system generates high-fidelity mpMRI images representing patterns of interest for prostate cancer. A two-attention discriminator and Wasserstein adversarial training ensure anatomical fidelity and diversity of the synthesized data, addressing data scarcity and enhancing segmentation model strength. In reality, a segmentation network that integrates synthetic data and attention-based subnetworks demonstrates remarkable gains in correctly delineating tumors, particularly in challenging and complex cases. Quality assurance entails detailed quantitative evaluations, radiologist-led assessments, and statistical reviews to ensure the clinical significance and reliability of the synthetic data set. The methodology involves curriculum learning, uncertainty estimations, and interpretability tools that enable reliable model predictions and expert reviews efficiently. Overall, this project establishes a technique for synthetic data augmentation based on advances in adversarial and attention learning in recent times, resulting in improved prostate MRI segmentation and offering a useful resource to improve prostate cancer screening and diagnosis.","","979-8-3315-6070-6","10.1109/ICECONF65644.2025.11379628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11379628","Prostate MRI;Data Augmentation;Segmentation;Generative Adversarial Networks;Attention Mechanisms;Wasserstein GAN;U-Net;Clinical Validation","Training;Image segmentation;Reviews;Magnetic resonance imaging;Pipelines;Predictive models;Reliability;Lesions;Prostate cancer;Synthetic data","","","","15","IEEE","17 Feb 2026","9-10 Oct. 2025","9-10 Oct. 2025","IEEE","IEEE Conferences"
"Auditing and Generating Synthetic Data With Controllable Trust Trade-Offs","B. Belgodere; P. Dognin; A. Ivankay; I. Melnyk; Y. Mroueh; A. Mojsilović; J. Navratil; A. Nitsure; I. Padhi; M. Rigotti; J. Ross; Y. Schiff; R. Vedpathak; R. A. Young","IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; Google LLC, Mountain View, CA, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research, Johannesburg, South Africa",IEEE Journal on Emerging and Selected Topics in Circuits and Systems,"13 Dec 2024","2024","14","4","773","788","Real-world data often exhibits bias, imbalance, and privacy risks. Synthetic datasets have emerged to address these issues by enabling a paradigm that relies on generative AI models to generate unbiased, privacy-preserving data while maintaining fidelity to the original data. However, assessing the trustworthiness of synthetic datasets and models is a critical challenge. We introduce a holistic auditing framework that comprehensively evaluates synthetic datasets and AI models. It focuses on preventing bias and discrimination, ensuring fidelity to the source data, and assessing utility, robustness, and privacy preservation. We demonstrate our framework’s effectiveness by auditing various generative models across diverse use cases like education, healthcare, banking, and human resources, spanning different data modalities such as tabular, time-series, vision, and natural language. This holistic assessment is essential for compliance with regulatory safeguards. We introduce a trustworthiness index to rank synthetic datasets based on their safeguards trade-offs. Furthermore, we present a trustworthiness-driven model selection and cross-validation process during training, exemplified with “TrustFormers” across various data types. This approach allows for controllable trustworthiness trade-offs in synthetic data creation. Our auditing framework fosters collaboration among stakeholders, including data scientists, governance experts, internal reviewers, external certifiers, and regulators. This transparent reporting should become a standard practice to prevent bias, discrimination, and privacy violations, ensuring compliance with policies and providing accountability, safety, and performance guarantees.","2156-3365","","10.1109/JETCAS.2024.3477976","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10713321","Trustworthy AI;synthetic data;auditing;generative AI","Synthetic data;Indexes;Data models;Artificial intelligence;Data privacy;Training;Robustness;Circuits and systems;Measurement;Uncertainty","","3","","92","CCBY","10 Oct 2024","Dec. 2024","","IEEE","IEEE Journals"
"3D Isotropic High-Resolution Fetal Brain MRI Reconstruction From Motion Corrupted Thick Data Based on Physical-Informed Unsupervised Learning","J. Wu; L. Chen; Z. Li; X. Li; T. Sun; L. Wang; R. Wang; H. Wei; Y. Zhang","School of Information Science and Technology, ShanghaiTech University, Shanghai, China; School of Electrical and Computer Engineering, University of Michigan, Ann Arbor, MI, USA; School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Information Science and Technology, ShanghaiTech University, Shanghai, China; International Peace Maternity and Child Health Hospital, Shanghai, China; Key Laboratory of Advanced Medical Imaging and Intelligent Computing of Guizhou Province, College of Compute Science and Technology, Guizhou University, Guiyang, China; Guizhou Provincial People’s Hospital, Guizhou, China; School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Information Science and Technology, ShanghaiTech University, Shanghai, China",IEEE Journal of Biomedical and Health Informatics,"6 Nov 2025","2025","29","11","8256","8267","High-quality 3D fetal brain MRI reconstruction from motion-corrupted 2D slices is crucial for precise clinical diagnosis and advancing our understanding of fetal brain development. This necessitates reliable slice-to-volume registration (SVR) for motion correction and super-resolution reconstruction (SRR) techniques. Traditional approaches have their limitations, but deep learning (DL) offers the potential in enhancing SVR and SRR. However, most of DL methods require large-scale external 3D high-resolution (HR) training datasets, which is challenging in clinical fetal MRI. To address this issue, we propose an unsupervised iterative joint SVR and SRR DL framework for 3D isotropic HR volume reconstruction. Specifically, our method conceptualizes SVR as a function that maps a 2D slice and a 3D target volume to a rigid transformation matrix, aligning the slice to the underlying location within the target volume. This function is parameterized by a convolutional neural network, which is trained by minimizing the difference between the volume slicing at the predicted position and the actual input slice. For SRR, a decoding network embedded within a deep image prior framework, coupled with a comprehensive image degradation model, is used to produce the HR volume. The deep image prior framework offers a local consistency prior to guide the reconstruction of HR volumes. By performing a forward degradation model, the HR volume is optimized by minimizing the loss between the predicted slices and the acquired slices. Experiments on both large-magnitude motion-corrupted simulation data and clinical data have shown that our proposed method outperforms current state-of-the-art fetal brain reconstruction methods.","2168-2208","","10.1109/JBHI.2025.3586049","Fundamental Research Funds for the Central Universities(grant numbers:YG2023QNB29); Guizhou Senior Innovative Talent(grant numbers:QKHPTRC-GCC[2022]041–1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080313","Fetal brain MRI;slice-to-volume reconstruction;motion correction;deep image prior;unsupervised learning","Three-dimensional displays;Magnetic resonance imaging;Image reconstruction;Training;Brain modeling;Degradation;Iterative methods;Decoding;Solid modeling;Accuracy","Humans;Magnetic Resonance Imaging;Brain;Imaging, Three-Dimensional;Fetus;Unsupervised Machine Learning;Female;Deep Learning;Pregnancy","","","42","IEEE","15 Jul 2025","Nov. 2025","","IEEE","IEEE Journals"
"Radiologist-in-the-Loop Self-Training for Generalizable CT Metal Artifact Reduction","C. Ma; Z. Li; Y. Li; J. Han; J. Zhang; Y. Zhang; J. Liu; H. Shan","Institute of Science and Technology for Brain-Inspired Intelligence, the MOE Frontiers Center for Brain Science, and the Key Laboratory of Computational Neuroscience and Brain-Inspired Intelligence, Fudan University, Shanghai, China; Shanghai Key Laboratory of Intelligent Information Processing, School of Computer Science, Fudan University, Shanghai, China; Department of Oral Maxillofacial Head and Neck Oncology, Shanghai Ninth People’s Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Department of Oral Maxillofacial Head and Neck Oncology, Shanghai Ninth People’s Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Shanghai Key Laboratory of Intelligent Information Processing, School of Computer Science, Fudan University, Shanghai, China; School of Cyber Science and Engineering, Sichuan University, Chengdu, Sichuan, China; Department of Oral Maxillofacial Head and Neck Oncology, Shanghai Ninth People’s Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Institute of Science and Technology for Brain-Inspired Intelligence, the MOE Frontiers Center for Brain Science, and the Key Laboratory of Computational Neuroscience and Brain-Inspired Intelligence, Fudan University, Shanghai, China",IEEE Transactions on Medical Imaging,"4 Jun 2025","2025","44","6","2504","2514","Metal artifacts in computed tomography (CT) images can significantly degrade image quality and impede accurate diagnosis. Supervised metal artifact reduction (MAR) methods, trained using simulated datasets, often struggle to perform well on real clinical CT images due to a substantial domain gap. Although state-of-the-art semi-supervised methods use pseudo ground-truths generated by a prior network to mitigate this issue, their reliance on a fixed prior limits both the quality and quantity of these pseudo ground-truths, introducing confirmation bias and reducing clinical applicability. To address these limitations, we propose a novel radiologist-in-the-loop self-training framework for MAR, termed RISE-MAR, which can integrate radiologists’ feedback into the semi-supervised learning process, progressively improving the quality and quantity of pseudo ground-truths for enhanced generalization on real clinical CT images. For quality assurance, we introduce a clinical quality assessor model that emulates radiologist evaluations, effectively selecting high-quality pseudo ground-truths for semi-supervised training. For quantity assurance, our self-training framework iteratively generates additional high-quality pseudo ground-truths, expanding the clinical dataset and further improving model generalization. Extensive experimental results on multiple clinical datasets demonstrate the superior generalization performance of our RISE-MAR over state-of-the-art methods, advancing the development of MAR models for practical application. The source code is available at https://github.com/Masaaki-75/rise-mar.","1558-254X","","10.1109/TMI.2025.3535906","National Natural Science Foundation of China(grant numbers:62471148,62322114,62101136,62271335,62176059); Clinical Translation Project of Shanghai Jiao Tong University Medical and Engineering Cross Research Fund(grant numbers:YG2023LC06); Fundamental Research Funds for the Central Universities; Shanghai Center for Brain Science and Brain-Inspired Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10857416","Computed tomography;metal artifact reduction;semi-supervised learning;domain adaptation","Computed tomography;Metals;Training;Mars;Image quality;Quality assurance;Quality assessment;Adaptation models;Semisupervised learning;Head","Artifacts;Tomography, X-Ray Computed;Humans;Metals;Radiologists;Image Processing, Computer-Assisted;Supervised Machine Learning;Algorithms","1","","37","IEEE","29 Jan 2025","June 2025","","IEEE","IEEE Journals"
"Toward Fairness-Aware Time-Sensitive Asynchronous Federated Learning for Critical Energy Infrastructure","J. Lu; H. Liu; Z. Zhang; J. Wang; S. K. Goudos; S. Wan","School of Computer Science and Technology, Wuhan University of Science and Technology, Wuhan, China; Department of Computer Science and Engineering, Zhejiang Normal University, Jinhua, China; Department of Computer Science and Engineering, Zhejiang Normal University, Jinhua, China; Center for Intelligent Healthcare, Coventry University, Coventry, U.K.; ELEDIA@AUTH, Department of Physics, Aristotle University of Thessaloniki, Thessaloniki, Greece; School of Information and Safety Engineering, Zhongnan University of Economics and Law, Wuhan, China",IEEE Transactions on Industrial Informatics,"3 Feb 2022","2022","18","5","3462","3472","Critical energy infrastructure (CEI) systems are vital to underpin the national economy and social development, but vulnerable to cyber attack and data privacy leakage when distributed machine learning technologies are deployed on them. Although federated learning (FL) has promoted distributed collaborative learning while keeping natural compliance with the privacy protection, it is tremendously difficult to schedule edge nodes of CEI collaboratively when asynchronous FL tasks are applied in CEI system, since the CEI system must make an irrevocable immediate decision on whether to hire a participant who arrives and departs dynamically without knowing future information. In this article, we tackle this issue by designing fairness-aware and time-sensitive task allocation mechanisms in asynchronous FL for CEI. First, we design an optimal multidimensional contract to guarantee the reliability, honesty, and fairness, and maximize the learning accuracy for the fixed deadline scenario. Second, we design a multimetric participant recruitment mechanism to control time consumption for the limited budget scenario, prove that the problem of optimizing this mechanism is NP-hard, and propose an $e$-approximation algorithm accordingly. Finally, extensive experiments using both real-world data and simulated data further demonstrate the effectiveness and efficiency of our proposed mechanisms compared to the state-of-the-art approaches.","1941-0050","","10.1109/TII.2021.3117861","National Natural Science Foundation of China(grant numbers:62072411,62172438,U20A2068,11771013); Zhejiang Provincial Natural Science Foundation of China(grant numbers:LR21F020001,LD19A010001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560090","Critical energy infrastructure;fairness-aware;federated learning;task allocation;time-sensitive","Task analysis;Resource management;Training;Computational modeling;Data models;Predictive models;Informatics","","27","","23","IEEE","6 Oct 2021","May 2022","","IEEE","IEEE Journals"
"Deep Survival Analysis and Counterfactual Inference Using Balanced Representations","M. Gupta; G. Kannan; R. Prasad; G. Gupta","TCS Innovation Labs, Delhi; NIT Trichy; IIIT Delhi; TCS Innovation Labs, Delhi","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","Clinical decision making and diagnosis in healthcare is enabled by learning causal relationships among entities. In order to answer the question, ’Will changing the treatment regimen lead to quicker recovery of a patient?’ requires predicting counterfactuals using survival analysis. We seek to reliably estimate the average treatment effect in terms of survival probabilities of the factual outcomes as compared to survival probabilities of the unobserved counterfactual population. Due to the nature of observational data, this framework is prone to treatment selection bias and censoring bias. We address these issues and propose the novel SurvCI framework which consists of a counterfactual inference (CI) algorithm for data with time-to-event outcomes. We investigate the performance of the proposed framework on synthetic and semi-synthetic data and employ survival and causal metrics to empirically confirm that our method outperforms baselines.","2379-190X","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10095273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10095273","Counterfactual Inference;Survival Analysis;Average Treatment Effect;Deep Learning","Measurement;Sociology;Decision making;Signal processing algorithms;Medical services;Signal processing;Inference algorithms","","1","","14","IEEE","5 May 2023","4-10 June 2023","4-10 June 2023","IEEE","IEEE Conferences"
"D-Cube: Exploiting Hyper-Features of Diffusion Model for Robust Medical Classification","M. Jang; J. Son; T. Viriyasaranon; J. Kim; J. -H. Choi","Ewha Womans University, Korea; Ewha Womans University, Korea; Ewha Womans University, Korea; NAVER AI Lab; Ewha Womans University, Korea",2024 IEEE International Conference on Data Mining (ICDM),"21 Feb 2025","2024","","","711","716","The integration of deep learning technologies in medical imaging aims to enhance the efficiency and accuracy of cancer diagnosis, particularly for pancreatic and breast cancers, which present significant diagnostic challenges due to their high mortality rates and complex imaging characteristics. This paper introduces Diffusion-Driven Diagnosis (D-Cube), a novel approach that leverages hyper-features from a diffusion model combined with contrastive learning to improve cancer diagnosis. D-Cube employs advanced feature selection techniques that utilize the robust representational capabilities of diffusion models, enhancing classification performance on medical datasets under challenging conditions such as data imbalance and limited sample availability. The feature selection process optimizes the extraction of clinically relevant features, significantly improving classification accuracy and demonstrating resilience in imbalanced and limited data scenarios. Experimental results validate the effectiveness of D-Cube across multiple medical imaging modalities, including CT, MRI, and X-ray, showing superior performance compared to existing baseline models. D-Cube represents a new strategy in cancer detection, employing advanced deep learning techniques to achieve state-of-the-art diagnostic accuracy and efficiency. The code is available at the provided link11.https://github.com/medical-ai-cv/D-Cube.git.","2374-8486","979-8-3315-0668-1","10.1109/ICDM59182.2024.00081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10884367","Diffusion Models;Medical Image Classification;Feature Selection;Contrastive Learning;Synthetic Data Generation","Deep learning;Accuracy;Refining;Feature extraction;Diffusion models;Data mining;Medical diagnostic imaging;X-ray imaging;Synthetic data;Resilience","","1","","42","IEEE","21 Feb 2025","9-12 Dec. 2024","9-12 Dec. 2024","IEEE","IEEE Conferences"
"Synthetic Differential Privacy Data Generation for Revealing Bias Modelling Risks","M. Wilchek; Y. Wang","M. S. Data Science George, Washington University, Washington, D. C., USA; M. S. Data Science & Analytics, Georgetown University, Washington, D. C., USA","2021 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","22 Dec 2021","2021","","","1574","1580","Personally identifiable information (PII) continues to be used in predictive modeling by academic researchers and industry organizations. Most notably, the healthcare industry has been a popular testbed for innovative approaches from academia and institutions to address research using PII in predictive applications and synthetic data generation. The majority of these approaches that generate synthetic PII are based on actual data or obfuscating real data parts. Privacy leakage and ethical disclosure results continue to be among the largest issues that are difficult to avoid in synthetic PII generation techniques. In this analysis, we propose a novel method to generate synthetic, differential privacy data while avoiding the common pitfalls and capable of being leveraged broadly. Evidence is also shown that proves how our novel approach can maintain inference for modeling and potential risks tied to PII features. We conclude with a summarization of our findings and results and a short discussion on how using PII data may impact organizations interested in developing predictive applications.","","978-1-6654-3574-1","10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00211","George Washington University; George Mason University; Georgetown University; George Mason University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9644810","Machine Learning;Synthetic Data;Data Ethics;Privacy;Disclosure;Anonymity","Industries;Training;Analytical models;Differential privacy;Ethics;Privacy;Organizations","","3","","20","USGov","22 Dec 2021","30 Sept.-3 Oct. 2021","30 Sept.-3 Oct. 2021","IEEE","IEEE Conferences"
"Evaluating Class Integrity in GAN-Generated Synthetic Medical Datasets","K. Rais; M. Amroune; M. Y. Haouam; A. Benmachiche","Laboratory of Mathematics, Informatics and Systems (LAMIS), Echahid Cheikh Larbi Tebessi University, Tébessa, Algeria; Laboratory of Mathematics, Informatics and Systems (LAMIS), Echahid Cheikh Larbi Tebessi University, Tébessa, Algeria; Laboratory of Mathematics, Informatics and Systems (LAMIS), Echahid Cheikh Larbi Tebessi University, Tébessa, Algeria; Department of Computer Science, LIMA Laboratory Chadli Bendjedid University, El-Tarf, Algeria",2025 International Conference on Networking and Advanced Systems (ICNAS),"23 Dec 2025","2025","","","1","8","Artificial intelligence models perform differently based on the quality and size of the dataset; some require large datasets, while others do well with smaller ones. Although both size and quality are important, maintaining a balance in class distribution is crucial to prevent bias toward one class over another. GANs can produce synthetic medical images to address dataset limitations and class imbalances. However, a central question is whether GAN-generated images keep the key features of the original image classes. This study investigates whether GAN-generated medical images preserve the discriminative features of their original class. We classify the augmented images using a CNN and employ Grad-CAM for visual explanations. The results show that the GAN is largely successful in maintaining the original class features and generates novel and diverse images. Our analysis of the BraTs2020 dataset showed that the CNN classifier reached a 71% accuracy. According to Grad-CAM, relevant anatomical regions were maintained, and SSIM scores (0.67-0.79) indicated that the majority of synthetic images preserved key diagnostic features.","","979-8-3315-6851-1","10.1109/ICNAS68168.2025.11298012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11298012","Artificial intelligence;Data augmentation;medical images;GAN;CNN;Grad-CAM Classification","Training;Visualization;Image segmentation;Accuracy;Explainable AI;Refining;Generative adversarial networks;Medical diagnostic imaging;Tumors;Synthetic data","","","","42","IEEE","23 Dec 2025","29-30 Oct. 2025","29-30 Oct. 2025","IEEE","IEEE Conferences"
"Deep Learning based Food Instance Segmentation using Synthetic Data","D. Park; J. Lee; J. Lee; K. Lee","School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; School of Integrated Technology (SIT), Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea",2021 18th International Conference on Ubiquitous Robots (UR),"30 Jul 2021","2021","","","499","505","In the process of intelligently segmenting foods in images using deep neural networks for diet management, data collection and labeling for network training are very important but labor-intensive tasks. In order to solve the difficulties of data collection and annotations, this paper proposes a food segmentation method applicable to real-world through synthetic data. To perform food segmentation on healthcare robot systems, such as meal assistance robot arm, we generate synthetic data using the open-source 3D graphics software Blender placing multiple objects on meal plate and train Mask R-CNN for instance segmentation. Also, we build a data collection system and verify our segmentation model on real-world food data. As a result, on our real-world dataset, the model trained only synthetic data is available to segment food instances that are not trained with 52.2% mask AP@all, and improve performance by +6.4%p after fine-tuning comparing to the model trained from scratch. In addition, we also confirm the possibility and performance improvement on the public dataset for fair analysis.","2325-033X","978-1-6654-3899-5","10.1109/UR52253.2021.9494704","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9494704","","Training;Deep learning;Image segmentation;Three-dimensional displays;Medical services;Data collection;Manipulators","","26","","39","IEEE","30 Jul 2021","12-14 July 2021","12-14 July 2021","IEEE","IEEE Conferences"
